log_id,vehicle_id,location_name,timestamp,camera_id
VML-00072,V008,Kaveri Depot Yard Gate,2026-03-10 18:40:52,CAM-06
VML-00073,V011,Shrivardhan Apartments Lane,2026-03-10 19:44:00,CAM-14
VML-00074,V017,Nandanvan Industrial Belt Junction,2026-03-10 21:05:15,CAM-08
VML-00075,V006,Rewa Gate Check Post,2026-03-11 00:28:28,CAM-11
VML-00076,V010,Ghatpimpri Toll Plaza Lane 5,2026-03-11 03:42:52,CAM-05
VML-00077,V011,Shrivardhan Apartments Lane,2026-03-11 09:26:00,CAM-14
VML-00078,V010,Shrivardhan Apartments Lane,2026-03-11 13:47:00,CAM-14
VML-00079,V002,Nandanvan Industrial Belt Junction,2026-03-11 15:23:30,CAM-08
VML-00080,V011,Shrivardhan Apartments Lane,2026-03-11 19:23:00,CAM-14
VML-00081,V004,Ambika Bypass Km-31,2026-03-11 22:01:22,CAM-10
VML-00082,V006,Ghatpimpri Toll Plaza Lane 2,2026-03-12 07:05:11,CAM-04
VML-00083,V019,Rewa Gate Check Post,2026-03-12 07:45:14,CAM-11
VML-00084,V002,Vashisht Market Entry Gate,2026-03-12 07:59:59,CAM-02
VML-00085,V011,Shrivardhan Apartments Lane,2026-03-12 09:29:00,CAM-14
VML-00086,V017,Nandanvan Industrial Belt Junction,2026-03-12 12:02:34,CAM-08
VML-00087,V011,Ghatpimpri Toll Plaza Lane 5,2026-03-12 13:48:12,CAM-05
VML-00088,V011,Shrivardhan Apartments Lane,2026-03-12 19:32:00,CAM-14
VML-00089,V009,Vashisht Market Entry Gate,2026-03-12 19:34:44,CAM-02
VML-00090,V013,Purana Peth Crossing,2026-03-12 19:40:56,CAM-03
VML-00091,V016,Ghatpimpri Toll Plaza Lane 2,2026-03-12 21:40:21,CAM-04
VML-00092,V011,Shrivardhan Apartments Lane,2026-03-13 09:13:00,CAM-14
VML-00093,V012,Tilakwadi Signal,2026-03-13 09:30:10,CAM-01
VML-00094,V016,Nandanvan Industrial Belt Junction,2026-03-13 11:00:52,CAM-08
VML-00095,V009,Ghatpimpri Toll Plaza Lane 5,2026-03-13 11:35:39,CAM-05
VML-00096,V003,Old Airport Cargo Road,2026-03-13 17:49:10,CAM-12
VML-00097,V011,Shrivardhan Apartments Lane,2026-03-13 19:42:00,CAM-14
VML-00098,V014,Devgiri Colony Entry,2026-03-13 21:17:26,CAM-13
VML-00099,V017,Shrivardhan Apartments Lane,2026-03-13 23:09:25,CAM-14
VML-00100,V008,Devgiri Colony Entry,2026-03-14 05:13:56,CAM-13
VML-00101,V015,Ghatpimpri Toll Plaza Lane 5,2026-03-14 06:07:13,CAM-05
VML-00102,V015,Ambika Bypass Km-14,2026-03-14 06:18:12,CAM-09
VML-00103,V010,Shrivardhan Apartments Lane,2026-03-14 06:38:00,CAM-14
VML-00104,V011,Shrivardhan Apartments Lane,2026-03-14 09:09:00,CAM-14
VML-00105,V018,Ambika Bypass Km-31,2026-03-14 13:33:10,CAM-10
VML-00106,V008,Ghatpimpri Toll Plaza Lane 2,2026-03-14 14:15:02,CAM-04
VML-00107,V004,Old Airport Cargo Road,2026-03-14 17:47:44,CAM-12
VML-00108,V011,Shrivardhan Apartments Lane,2026-03-14 19:41:00,CAM-14
VML-00109,V006,Nandanvan Industrial Belt Junction,2026-03-14 20:48:18,CAM-08
VML-00110,V007,Nandanvan Industrial Belt Junction,2026-03-15 00:19:32,CAM-08
VML-00111,V009,Ambika Bypass Km-14,2026-03-15 05:07:40,CAM-09
VML-00112,V011,Shrivardhan Apartments Lane,2026-03-15 09:13:00,CAM-14
VML-00113,V009,Devgiri Colony Entry,2026-03-15 10:54:05,CAM-13
VML-00114,V003,Ghatpimpri Toll Plaza Lane 5,2026-03-15 13:12:01,CAM-05
VML-00115,V018,Rewa Gate Check Post,2026-03-15 14:00:04,CAM-11
VML-00116,V016,Nandanvan Cold Storage Gate,2026-03-15 17:48:55,CAM-07
VML-00117,V013,Ambika Bypass Km-14,2026-03-15 19:35:12,CAM-09
VML-00118,V011,Shrivardhan Apartments Lane,2026-03-15 19:49:00,CAM-14
VML-00119,V008,Old Airport Cargo Road,2026-03-15 20:50:23,CAM-12
VML-00120,V004,Ghatpimpri Toll Plaza Lane 5,2026-03-15 22:28:16,CAM-05
VML-00121,V011,Shrivardhan Apartments Lane,2026-03-16 09:08:00,CAM-14
VML-00122,V013,Nandanvan Cold Storage Gate,2026-03-16 09:54:10,CAM-07
VML-00123,V010,Ambika Bypass Km-14,2026-03-16 11:34:12,CAM-09
VML-00124,V010,Devgiri Colony Entry,2026-03-16 13:53:11,CAM-13
VML-00125,V003,Ambika Bypass Km-14,2026-03-16 14:03:59,CAM-09
VML-00126,V006,Devgiri Colony Entry,2026-03-16 16:46:46,CAM-13
VML-00127,V020,Rewa Gate Check Post,2026-03-16 18:11:07,CAM-11
VML-00128,V016,Vashisht Market Entry Gate,2026-03-16 18:56:07,CAM-02
VML-00129,V011,Shrivardhan Apartments Lane,2026-03-16 19:18:00,CAM-14
VML-00130,V009,Nandanvan Cold Storage Gate,2026-03-16 20:07:06,CAM-07
VML-00131,V011,Vashisht Market Entry Gate,2026-03-17 01:12:33,CAM-02
VML-00132,V011,Devgiri Colony Entry,2026-03-17 01:15:43,CAM-13
VML-00133,V015,Ambika Bypass Km-31,2026-03-17 03:24:22,CAM-10
VML-00134,V011,Shrivardhan Apartments Lane,2026-03-17 09:15:00,CAM-14
VML-00135,V006,Kaveri Depot Yard Gate,2026-03-17 11:05:12,CAM-06
VML-00136,V009,Nandanvan Industrial Belt Junction,2026-03-17 14:07:34,CAM-08
VML-00137,V003,Nandanvan Cold Storage Gate,2026-03-17 15:13:13,CAM-07
VML-00138,V011,Shrivardhan Apartments Lane,2026-03-17 19:27:00,CAM-14
VML-00139,V010,Shrivardhan Apartments Lane,2026-03-17 21:30:00,CAM-14
VML-00140,V003,Rewa Gate Check Post,2026-03-18 06:07:58,CAM-11
VML-00141,V011,Shrivardhan Apartments Lane,2026-03-18 09:06:00,CAM-14
VML-00142,V020,Ambika Bypass Km-31,2026-03-18 11:46:21,CAM-10
VML-00143,V009,Nandanvan Industrial Belt Junction,2026-03-18 13:40:40,CAM-08
VML-00144,V009,Kaveri Depot Yard Gate,2026-03-18 15:59:54,CAM-06
VML-00145,V006,Old Airport Cargo Road,2026-03-18 16:14:59,CAM-12
VML-00146,V005,Nandanvan Cold Storage Gate,2026-03-18 18:09:16,CAM-07
VML-00147,V011,Shrivardhan Apartments Lane,2026-03-18 19:24:00,CAM-14
VML-00148,V016,Ghatpimpri Toll Plaza Lane 2,2026-03-19 02:13:16,CAM-04
VML-00149,V003,Tilakwadi Signal,2026-03-19 03:17:30,CAM-01
VML-00150,V016,Purana Peth Crossing,2026-03-19 03:25:39,CAM-03
VML-00151,V017,Vashisht Market Entry Gate,2026-03-19 03:53:54,CAM-02
VML-00152,V012,Old Airport Cargo Road,2026-03-19 07:20:42,CAM-12
VML-00153,V002,Vashisht Market Entry Gate,2026-03-19 07:22:05,CAM-02
VML-00154,V006,Purana Peth Crossing,2026-03-19 08:11:36,CAM-03
VML-00155,V011,Shrivardhan Apartments Lane,2026-03-19 09:16:00,CAM-14
VML-00156,V020,Nandanvan Cold Storage Gate,2026-03-19 14:48:27,CAM-07
VML-00157,V019,Rewa Gate Check Post,2026-03-19 14:57:10,CAM-11
VML-00158,V010,Ghatpimpri Toll Plaza Lane 5,2026-03-19 15:05:42,CAM-05
VML-00159,V004,Shrivardhan Apartments Lane,2026-03-19 15:12:37,CAM-14
VML-00160,V002,Rewa Gate Check Post,2026-03-19 19:11:58,CAM-11
VML-00161,V005,Vashisht Market Entry Gate,2026-03-19 19:39:30,CAM-02
VML-00162,V001,Ghatpimpri Toll Plaza Lane 2,2026-03-19 19:42:00,CAM-04
VML-00163,V011,Shrivardhan Apartments Lane,2026-03-19 19:43:00,CAM-14
VML-00164,V002,Tilakwadi Signal,2026-03-19 19:56:37,CAM-01
VML-00165,V001,Nandanvan Industrial Belt Junction,2026-03-19 20:33:00,CAM-08
VML-00166,V002,Kaveri Depot Yard Gate,2026-03-19 20:55:00,CAM-06
VML-00167,V004,Nandanvan Cold Storage Gate,2026-03-19 20:58:00,CAM-07
VML-00168,V005,Nandanvan Industrial Belt Junction,2026-03-19 21:03:00,CAM-08
VML-00169,V001,Nandanvan Cold Storage Gate,2026-03-19 21:08:00,CAM-07
VML-00170,V005,Nandanvan Cold Storage Gate,2026-03-19 21:11:00,CAM-07
VML-00171,V002,Nandanvan Industrial Belt Junction,2026-03-19 21:19:00,CAM-08
VML-00172,V001,Nandanvan Cold Storage Gate,2026-03-19 21:44:00,CAM-07
VML-00173,V005,Nandanvan Cold Storage Gate,2026-03-19 21:51:00,CAM-07
VML-00174,V004,Nandanvan Industrial Belt Junction,2026-03-19 22:02:00,CAM-08
VML-00175,V001,Ambika Bypass Km-14,2026-03-19 22:31:00,CAM-09
VML-00176,V001,Rewa Gate Check Post,2026-03-20 00:14:00,CAM-11
VML-00177,V006,Ghatpimpri Toll Plaza Lane 2,2026-03-20 05:00:22,CAM-04
VML-00178,V018,Ambika Bypass Km-14,2026-03-20 05:18:39,CAM-09
VML-00179,V003,Nandanvan Cold Storage Gate,2026-03-20 08:37:32,CAM-07
VML-00180,V011,Shrivardhan Apartments Lane,2026-03-20 09:12:00,CAM-14
VML-00181,V003,Nandanvan Cold Storage Gate,2026-03-20 11:08:55,CAM-07
VML-00182,V005,Tilakwadi Signal,2026-03-20 14:02:50,CAM-01
VML-00183,V011,Shrivardhan Apartments Lane,2026-03-20 19:12:00,CAM-14
VML-00184,V010,Shrivardhan Apartments Lane,2026-03-20 21:58:00,CAM-14
VML-00185,V001,Ambika Bypass Km-31,2026-03-20 23:31:51,CAM-10
VML-00186,V007,Kaveri Depot Yard Gate,2026-03-21 02:32:45,CAM-06
VML-00187,V011,Ambika Bypass Km-31,2026-03-21 07:07:36,CAM-10
VML-00188,V005,Rewa Gate Check Post,2026-03-21 09:16:09,CAM-11
VML-00189,V011,Shrivardhan Apartments Lane,2026-03-21 09:30:00,CAM-14
VML-00190,V006,Tilakwadi Signal,2026-03-21 11:12:00,CAM-01
VML-00191,V002,Rewa Gate Check Post,2026-03-21 15:46:52,CAM-11
VML-00192,V011,Shrivardhan Apartments Lane,2026-03-21 19:36:00,CAM-14
VML-00193,V015,Devgiri Colony Entry,2026-03-22 00:22:14,CAM-13
VML-00194,V006,Tilakwadi Signal,2026-03-22 08:40:00,CAM-01
VML-00195,V011,Rewa Gate Check Post,2026-03-22 09:28:26,CAM-11
VML-00196,V011,Shrivardhan Apartments Lane,2026-03-22 09:34:00,CAM-14
VML-00197,V019,Nandanvan Cold Storage Gate,2026-03-22 11:06:59,CAM-07
VML-00198,V015,Nandanvan Cold Storage Gate,2026-03-22 14:28:43,CAM-07
VML-00199,V017,Shrivardhan Apartments Lane,2026-03-22 14:40:59,CAM-14
VML-00200,V012,Vashisht Market Entry Gate,2026-03-22 16:54:15,CAM-02
VML-00201,V011,Shrivardhan Apartments Lane,2026-03-22 19:18:00,CAM-14
VML-00202,V005,Shrivardhan Apartments Lane,2026-03-22 19:41:50,CAM-14
VML-00203,V018,Ambika Bypass Km-14,2026-03-22 21:20:36,CAM-09
VML-00204,V008,Tilakwadi Signal,2026-03-22 21:20:43,CAM-01
VML-00205,V020,Tilakwadi Signal,2026-03-22 23:39:06,CAM-01
VML-00206,V016,Ghatpimpri Toll Plaza Lane 5,2026-03-23 00:16:22,CAM-05
VML-00207,V006,Tilakwadi Signal,2026-03-23 06:55:00,CAM-01
VML-00208,V017,Shrivardhan Apartments Lane,2026-03-23 07:42:28,CAM-14
VML-00209,V003,Ghatpimpri Toll Plaza Lane 2,2026-03-23 08:55:09,CAM-04
VML-00210,V011,Shrivardhan Apartments Lane,2026-03-23 09:10:00,CAM-14
VML-00211,V004,Shrivardhan Apartments Lane,2026-03-23 10:03:21,CAM-14
VML-00212,V007,Kaveri Depot Yard Gate,2026-03-23 11:09:31,CAM-06
VML-00213,V014,Ghatpimpri Toll Plaza Lane 2,2026-03-23 11:32:34,CAM-04
VML-00214,V010,Shrivardhan Apartments Lane,2026-03-23 12:10:00,CAM-14
VML-00215,V011,Nandanvan Industrial Belt Junction,2026-03-23 12:34:48,CAM-08
VML-00216,V016,Devgiri Colony Entry,2026-03-23 18:29:07,CAM-13
VML-00217,V011,Shrivardhan Apartments Lane,2026-03-23 19:13:00,CAM-14
VML-00218,V005,Shrivardhan Apartments Lane,2026-03-23 20:01:19,CAM-14
VML-00219,V018,Purana Peth Crossing,2026-03-23 21:14:25,CAM-03
VML-00220,V013,Purana Peth Crossing,2026-03-23 22:04:31,CAM-03
VML-00221,V013,Ambika Bypass Km-14,2026-03-23 22:29:06,CAM-09
VML-00222,V004,Old Airport Cargo Road,2026-03-23 22:43:11,CAM-12
VML-00223,V008,Tilakwadi Signal,2026-03-23 23:20:03,CAM-01
VML-00224,V007,Shrivardhan Apartments Lane,2026-03-24 02:11:01,CAM-14
VML-00225,V011,Nandanvan Industrial Belt Junction,2026-03-24 04:24:05,CAM-08
VML-00226,V006,Nandanvan Cold Storage Gate,2026-03-24 05:39:24,CAM-07
VML-00227,V011,Shrivardhan Apartments Lane,2026-03-24 09:16:00,CAM-14
VML-00228,V009,Tilakwadi Signal,2026-03-24 09:16:19,CAM-01
VML-00229,V007,Ghatpimpri Toll Plaza Lane 2,2026-03-24 19:07:49,CAM-04
VML-00230,V011,Shrivardhan Apartments Lane,2026-03-24 19:55:00,CAM-14
VML-00231,V010,Ghatpimpri Toll Plaza Lane 2,2026-03-24 23:11:59,CAM-04
VML-00232,V002,Devgiri Colony Entry,2026-03-25 00:14:00,CAM-13
VML-00233,V011,Shrivardhan Apartments Lane,2026-03-25 09:29:00,CAM-14
VML-00234,V006,Old Airport Cargo Road,2026-03-25 16:52:45,CAM-12
VML-00235,V001,Rewa Gate Check Post,2026-03-25 18:33:03,CAM-11
VML-00236,V011,Shrivardhan Apartments Lane,2026-03-25 19:55:00,CAM-14
VML-00237,V014,Shrivardhan Apartments Lane,2026-03-26 01:28:53,CAM-14
VML-00238,V014,Nandanvan Industrial Belt Junction,2026-03-26 03:42:52,CAM-08
VML-00239,V018,Nandanvan Cold Storage Gate,2026-03-26 03:51:20,CAM-07
VML-00240,V010,Shrivardhan Apartments Lane,2026-03-26 07:18:00,CAM-14
VML-00241,V011,Shrivardhan Apartments Lane,2026-03-26 09:10:00,CAM-14
VML-00242,V004,Nandanvan Industrial Belt Junction,2026-03-26 15:30:33,CAM-08
VML-00243,V011,Shrivardhan Apartments Lane,2026-03-26 19:40:00,CAM-14
VML-00244,V013,Shrivardhan Apartments Lane,2026-03-27 02:36:06,CAM-14
VML-00245,V003,Kaveri Depot Yard Gate,2026-03-27 03:56:18,CAM-06
VML-00246,V018,Ambika Bypass Km-31,2026-03-27 05:36:34,CAM-10
VML-00247,V011,Shrivardhan Apartments Lane,2026-03-27 09:33:00,CAM-14
VML-00248,V008,Ghatpimpri Toll Plaza Lane 5,2026-03-27 16:06:59,CAM-05
VML-00249,V011,Shrivardhan Apartments Lane,2026-03-27 19:49:00,CAM-14
VML-00250,V006,Old Airport Cargo Road,2026-03-28 02:03:36,CAM-12
VML-00251,V011,Shrivardhan Apartments Lane,2026-03-28 09:22:00,CAM-14
VML-00252,V019,Shrivardhan Apartments Lane,2026-03-28 13:07:30,CAM-14
VML-00253,V003,Rewa Gate Check Post,2026-03-28 13:35:14,CAM-11
VML-00254,V001,Ghatpimpri Toll Plaza Lane 5,2026-03-28 13:45:52,CAM-05
VML-00255,V005,Nandanvan Industrial Belt Junction,2026-03-28 15:26:23,CAM-08
VML-00256,V010,Nandanvan Cold Storage Gate,2026-03-28 19:27:30,CAM-07
VML-00257,V011,Shrivardhan Apartments Lane,2026-03-28 19:33:00,CAM-14
VML-00258,V001,Ghatpimpri Toll Plaza Lane 2,2026-03-28 19:42:00,CAM-04
VML-00259,V001,Nandanvan Industrial Belt Junction,2026-03-28 20:33:00,CAM-08
VML-00260,V002,Kaveri Depot Yard Gate,2026-03-28 20:55:00,CAM-06
VML-00261,V001,Nandanvan Cold Storage Gate,2026-03-28 21:08:00,CAM-07
VML-00262,V002,Nandanvan Industrial Belt Junction,2026-03-28 21:19:00,CAM-08
VML-00263,V016,Shrivardhan Apartments Lane,2026-03-28 21:20:27,CAM-14
VML-00264,V001,Nandanvan Cold Storage Gate,2026-03-28 21:44:00,CAM-07
VML-00265,V001,Ambika Bypass Km-14,2026-03-28 22:31:00,CAM-09
VML-00266,V001,Rewa Gate Check Post,2026-03-29 00:14:00,CAM-11
VML-00267,V001,Purana Peth Crossing,2026-03-29 02:00:37,CAM-03
VML-00268,V003,Nandanvan Cold Storage Gate,2026-03-29 06:58:07,CAM-07
VML-00269,V012,Nandanvan Cold Storage Gate,2026-03-29 08:43:23,CAM-07
VML-00270,V011,Shrivardhan Apartments Lane,2026-03-29 09:05:00,CAM-14
VML-00271,V004,Ghatpimpri Toll Plaza Lane 5,2026-03-29 12:18:08,CAM-05
VML-00272,V010,Shrivardhan Apartments Lane,2026-03-29 12:31:00,CAM-14
VML-00273,V011,Shrivardhan Apartments Lane,2026-03-29 19:33:00,CAM-14
VML-00274,V002,Vashisht Market Entry Gate,2026-03-29 22:16:18,CAM-02
VML-00275,V011,Shrivardhan Apartments Lane,2026-03-30 09:25:00,CAM-14
VML-00276,V001,Ambika Bypass Km-31,2026-03-30 14:54:46,CAM-10
VML-00277,V011,Shrivardhan Apartments Lane,2026-03-30 19:40:00,CAM-14
VML-00278,V012,Purana Peth Crossing,2026-03-30 19:59:36,CAM-03
VML-00279,V016,Ambika Bypass Km-14,2026-03-30 21:49:43,CAM-09
VML-00280,V010,Old Airport Cargo Road,2026-03-31 00:02:55,CAM-12
VML-00281,V010,Old Airport Cargo Road,2026-03-31 07:39:16,CAM-12
VML-00282,V011,Shrivardhan Apartments Lane,2026-03-31 09:31:00,CAM-14
VML-00283,V001,Ambika Bypass Km-31,2026-03-31 16:45:24,CAM-10
VML-00284,V009,Nandanvan Cold Storage Gate,2026-03-31 18:00:06,CAM-07
VML-00285,V015,Tilakwadi Signal,2026-03-31 19:02:49,CAM-01
VML-00286,V011,Shrivardhan Apartments Lane,2026-03-31 19:43:00,CAM-14
VML-00287,V007,Ghatpimpri Toll Plaza Lane 2,2026-04-01 00:38:37,CAM-04
VML-00288,V012,Ghatpimpri Toll Plaza Lane 2,2026-04-01 02:20:38,CAM-04
VML-00289,V014,Purana Peth Crossing,2026-04-01 05:20:26,CAM-03
VML-00290,V007,Ambika Bypass Km-31,2026-04-01 08:30:09,CAM-10
VML-00291,V011,Shrivardhan Apartments Lane,2026-04-01 09:29:00,CAM-14
VML-00292,V019,Devgiri Colony Entry,2026-04-01 13:14:36,CAM-13
VML-00293,V018,Ghatpimpri Toll Plaza Lane 5,2026-04-01 16:02:31,CAM-05
VML-00294,V010,Shrivardhan Apartments Lane,2026-04-01 17:54:00,CAM-14
VML-00295,V011,Shrivardhan Apartments Lane,2026-04-01 19:21:00,CAM-14
VML-00296,V003,Nandanvan Industrial Belt Junction,2026-04-01 20:49:31,CAM-08
VML-00297,V019,Devgiri Colony Entry,2026-04-01 23:43:47,CAM-13
VML-00298,V019,Tilakwadi Signal,2026-04-02 03:00:54,CAM-01
VML-00299,V006,Nandanvan Industrial Belt Junction,2026-04-02 04:02:46,CAM-08
VML-00300,V018,Purana Peth Crossing,2026-04-02 09:13:00,CAM-03
VML-00301,V011,Shrivardhan Apartments Lane,2026-04-02 09:33:00,CAM-14
VML-00302,V019,Tilakwadi Signal,2026-04-02 14:03:38,CAM-01
VML-00303,V016,Tilakwadi Signal,2026-04-02 15:48:07,CAM-01
VML-00304,V011,Vashisht Market Entry Gate,2026-04-02 17:56:47,CAM-02
VML-00305,V011,Shrivardhan Apartments Lane,2026-04-02 19:22:00,CAM-14
VML-00306,V006,Rewa Gate Check Post,2026-04-03 01:36:28,CAM-11
VML-00307,V014,Ambika Bypass Km-31,2026-04-03 02:10:18,CAM-10
VML-00308,V020,Nandanvan Industrial Belt Junction,2026-04-03 07:44:49,CAM-08
VML-00309,V011,Shrivardhan Apartments Lane,2026-04-03 09:10:00,CAM-14
VML-00310,V001,Ghatpimpri Toll Plaza Lane 5,2026-04-03 17:03:30,CAM-05
VML-00311,V011,Tilakwadi Signal,2026-04-03 18:49:02,CAM-01
VML-00312,V011,Shrivardhan Apartments Lane,2026-04-03 19:28:00,CAM-14
VML-00313,V009,Shrivardhan Apartments Lane,2026-04-04 00:41:20,CAM-14
VML-00314,V012,Old Airport Cargo Road,2026-04-04 06:31:06,CAM-12
VML-00315,V011,Shrivardhan Apartments Lane,2026-04-04 09:22:00,CAM-14
VML-00316,V007,Ghatpimpri Toll Plaza Lane 2,2026-04-04 14:14:42,CAM-04
VML-00317,V010,Ambika Bypass Km-14,2026-04-04 19:01:10,CAM-09
VML-00318,V017,Nandanvan Cold Storage Gate,2026-04-04 19:09:55,CAM-07
VML-00319,V011,Shrivardhan Apartments Lane,2026-04-04 19:49:00,CAM-14
VML-00320,V010,Shrivardhan Apartments Lane,2026-04-04 21:55:00,CAM-14
VML-00321,V005,Rewa Gate Check Post,2026-04-04 22:17:57,CAM-11
VML-00322,V005,Rewa Gate Check Post,2026-04-05 01:56:34,CAM-11
VML-00323,V008,Ambika Bypass Km-14,2026-04-05 02:09:13,CAM-09
VML-00324,V016,Kaveri Depot Yard Gate,2026-04-05 06:52:53,CAM-06
VML-00325,V020,Ghatpimpri Toll Plaza Lane 5,2026-04-05 07:09:26,CAM-05
